LVV Plateau Nord - Base de données Comptages;;;;;;Idéalement tranches de 15';;;;;;
JJ/MM/AAAA;Liste;Provenance/Destination;Sud/Nord/Montant...;H/F/Mixte/Enfant;Vélo/Cargos/EDPM;HH:MM;HH:MM;/!\ Bien indiquer 0 si personne;;Nom Prénom;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Lyon;Lyon -> Montée;Féminin;Vélo;08:00;08:15;1;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Montée -> Fontaines;Masculin;Vélo;08:00;08:15;5;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Montée -> Fontaines;Féminin;Vélo;08:00;08:15;4;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Lyon -> Fontaines;Masculin;Vélo;08:00;08:15;1;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Masculin;Trotinette/EDPM;08:15;08:30;2;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Féminin;Vélo;08:15;08:30;1;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Féminin;Cargo/Longtail/Remorque;08:15;08:30;2;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Enfant seul;Trotinette/EDPM;08:15;08:30;1;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Lyon;Montée -> Lyon;Masculin;Vélo;08:15;08:30;3;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Lyon;Montée -> Lyon;Masculin;Cargo/Longtail/Remorque;08:15;08:30;1;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Lyon;Montée -> Lyon;Féminin;Vélo;08:15;08:30;1;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Fontaines -> Montée;Masculin;Vélo;08:15;08:30;5;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Fontaines -> Montée;Féminin;Vélo;08:15;08:30;3;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Fontaines -> Montée;Féminin;Cargo/Longtail/Remorque;08:15;08:30;4;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Lyon;Lyon -> Montée;Masculin;Vélo;08:15;08:30;1;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Montée -> Fontaines;Masculin;Trotinette/EDPM;08:15;08:30;2;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Montée -> Fontaines;Féminin;Vélo;08:15;08:30;7;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Lyon -> Fontaines;Masculin;Vélo;08:15;08:30;1;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Lyon -> Fontaines;Masculin;Cargo/Longtail/Remorque;08:15;08:30;1;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Lyon -> Fontaines;Féminin;Vélo;08:15;08:30;1;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Lyon -> Fontaines;Enfant seul;Vélo;08:15;08:30;1;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Masculin;Vélo;08:30;08:45;1;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Féminin;Vélo;08:30;08:45;1;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Lyon;Montée -> Lyon;Masculin;Vélo;08:30;08:45;2;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Lyon;Montée -> Lyon;Féminin;Vélo;08:30;08:45;3;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Fontaines -> Montée;Masculin;Vélo;08:30;08:45;6;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Fontaines -> Montée;Masculin;Cargo/Longtail/Remorque;08:30;08:45;1;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Fontaines -> Montée;Féminin;Vélo;08:30;08:45;3;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Fontaines -> Montée;Féminin;Cargo/Longtail/Remorque;08:30;08:45;1;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Lyon;Lyon -> Montée;Masculin;Vélo;08:30;08:45;1;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Montée -> Fontaines;Masculin;Vélo;08:30;08:45;4;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Montée -> Fontaines;Masculin;Cargo/Longtail/Remorque;08:30;08:45;3;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Montée -> Fontaines;Masculin;Trotinette/EDPM;08:30;08:45;1;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Montée -> Fontaines;Féminin;Vélo;08:30;08:45;4;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Montée -> Fontaines;Féminin;Cargo/Longtail/Remorque;08:30;08:45;1;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Lyon -> Fontaines;Féminin;Vélo;08:30;08:45;1;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Masculin;Vélo;08:45;09:00;3;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Masculin;Cargo/Longtail/Remorque;08:45;09:00;2;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Masculin;Trotinette/EDPM;08:45;09:00;1;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Lyon;Montée -> Lyon;Féminin;Vélo;08:45;09:00;2;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Lyon;Montée -> Lyon;Féminin;Trotinette/EDPM;08:45;09:00;1;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Fontaines -> Montée;Masculin;Vélo;08:45;09:00;1;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Lyon;Lyon -> Montée;Enfant seul;Trotinette/EDPM;08:30;08:45;1;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Montée -> Fontaines;Masculin;Vélo;08:45;09:00;4;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Montée des Forts - Fontaines;Montée -> Fontaines;Féminin;Vélo;08:45;09:00;3;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Lyon -> Fontaines;Masculin;Cargo/Longtail/Remorque;08:45;09:00;1;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Lyon -> Fontaines;Féminin;Vélo;08:45;09:00;1;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Lyon -> Fontaines;Féminin;Cargo/Longtail/Remorque;08:45;09:00;1;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Enfant seul;Vélo;07:30;07:45;0;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Enfant seul;Vélo;07:45;08:00;0;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Enfant seul;Vélo;08:00;08:15;0;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Enfant seul;Vélo;08:15;08:30;0;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Enfant seul;Vélo;08:30;08:45;0;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Enfant seul;Vélo;08:45;09:00;0;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Masculin;Vélo;08:15;08:30;0;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Féminin;Vélo;08:45;09:00;0;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Masculin;Cargo/Longtail/Remorque;07:30;07:45;0;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Masculin;Cargo/Longtail/Remorque;07:45;08:00;0;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Masculin;Cargo/Longtail/Remorque;08:00;08:15;0;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Masculin;Cargo/Longtail/Remorque;08:30;08:45;0;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Féminin;Cargo/Longtail/Remorque;07:30;07:45;0;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Féminin;Cargo/Longtail/Remorque;07:45;08:00;0;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Féminin;Cargo/Longtail/Remorque;08:00;08:15;0;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Féminin;Cargo/Longtail/Remorque;08:30;08:45;0;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Féminin;Cargo/Longtail/Remorque;08:45;09:00;0;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Masculin;Trotinette/EDPM;07:45;08:00;0;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Masculin;Trotinette/EDPM;08:00;08:15;0;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Masculin;Trotinette/EDPM;08:15;08:30;0;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Masculin;Trotinette/EDPM;08:30;08:45;0;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Féminin;Trotinette/EDPM;07:30;07:45;0;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Féminin;Trotinette/EDPM;07:45;08:00;0;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Féminin;Trotinette/EDPM;08:00;08:15;0;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Féminin;Trotinette/EDPM;08:15;08:30;0;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Féminin;Trotinette/EDPM;08:30;08:45;0;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Féminin;Trotinette/EDPM;08:45;09:00;0;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Enfant seul;Trotinette/EDPM;07:30;07:45;0;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Enfant seul;Trotinette/EDPM;07:45;08:00;0;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Enfant seul;Trotinette/EDPM;08:00;08:15;0;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Enfant seul;Trotinette/EDPM;08:30;08:45;0;;Audrey & Léa;;
03/12/2024;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Enfant seul;Trotinette/EDPM;08:45;09:00;0;"Je continuerai les 0 plus tard ;)";Audrey & Léa;;
10/06/25;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Masculin;Vélo;07:30;07:45;3;;Audrey;;
10/06/25;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Masculin;Trotinette/EDPM;07:30;07:45;1;;Audrey;;
10/06/25;Bas Montée des Forts;Montée des Forts - Lyon;Montée -> Lyon;Masculin;Trotinette/EDPM;07:30;07:45;1;;Audrey;;
10/06/25;Bas Montée des Forts;Montée des Forts - Lyon;Montée -> Lyon;Féminin;Vélo;07:30;07:45;1;;Audrey;;
10/06/25;Bas Montée des Forts;Montée des Forts - Fontaines;Fontaines -> Montée;Masculin;Vélo;07:30;07:45;1;;Audrey;;
10/06/25;Bas Montée des Forts;Montée des Forts - Fontaines;Fontaines -> Montée;Féminin;Vélo;07:30;07:45;3;;Audrey;;
10/06/25;Bas Montée des Forts;Montée des Forts - Fontaines;Montée -> Fontaines;Masculin;Vélo;07:30;07:45;1;;Audrey;;
10/06/25;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Masculin;Vélo;07:45;08:00;3;;Audrey;;
10/06/25;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Féminin;Vélo;07:45;08:00;2;;Audrey;;
10/06/25;Bas Montée des Forts;Montée des Forts - Lyon;Montée -> Lyon;Masculin;Vélo;07:45;08:00;2;;Audrey;;
10/06/25;Bas Montée des Forts;Montée des Forts - Lyon;Montée -> Lyon;Féminin;Vélo;07:45;08:00;1;;Audrey;;
10/06/25;Bas Montée des Forts;Montée des Forts - Fontaines;Fontaines -> Montée;Masculin;Vélo;07:45;08:00;1;;Audrey;;
10/06/25;Bas Montée des Forts;Montée des Forts - Fontaines;Fontaines -> Montée;Féminin;Vélo;07:45;08:00;1;;Audrey;;
10/06/25;Bas Montée des Forts;Montée des Forts - Fontaines;Fontaines -> Montée;Masculin;Cargo/Longtail/Remorque;07:45;08:00;1;;Audrey;;
10/06/25;Bas Montée des Forts;Montée des Forts - Fontaines;Fontaines -> Montée;Féminin;Cargo/Longtail/Remorque;07:45;08:00;2;;Audrey;;
10/06/25;Bas Montée des Forts;Montée des Forts - Fontaines;Lyon -> Montée;Masculin;Trotinette/EDPM;07:45;08:00;1;;Audrey;;
10/06/25;Bas Montée des Forts;Montée des Forts - Fontaines;Montée -> Fontaines;Féminin;Vélo;07:45;08:00;1;;Audrey;;
10/06/25;Bas Montée des Forts;Quai (Fontaine - Lyon);Lyon -> Fontaines;Masculin;Vélo;07:45;08:00;2;;Audrey;;
10/06/25;Bas Montée des Forts;Quai (Fontaine - Lyon);Lyon -> Fontaines;Féminin;Vélo;07:45;08:00;1;;Audrey;;
10/06/25;Bas Montée des Forts;Quai (Fontaine - Lyon);Lyon -> Fontaines;Féminin;Cargo/Longtail/Remorque;07:45;08:00;1;;Audrey;;
10/06/25;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Masculin;Vélo;08:00;08:15;2;;Audrey;;
10/06/25;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Féminin;Vélo;08:00;08:15;1;;Audrey;;
10/06/25;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Masculin;Cargo/Longtail/Remorque;08:00;08:15;1;;Audrey;;
10/06/25;Bas Montée des Forts;Montée des Forts - Lyon;Montée -> Lyon;Masculin;Cargo/Longtail/Remorque;08:00;08:15;1;;Audrey;;
10/06/25;Bas Montée des Forts;Montée des Forts - Lyon;Montée -> Lyon;Masculin;Vélo;08:00;08:15;1;;Audrey;;
10/06/25;Bas Montée des Forts;Montée des Forts - Lyon;Montée -> Lyon;Féminin;Vélo;08:00;08:15;1;;Audrey;;
10/06/25;Bas Montée des Forts;Montée des Forts - Fontaines;Fontaines -> Montée;Masculin;Vélo;08:00;08:15;2;;Audrey;;
10/06/25;Bas Montée des Forts;Montée des Forts - Fontaines;Fontaines -> Montée;Féminin;Vélo;08:00;08:15;3;;Audrey;;
10/06/25;Bas Montée des Forts;Montée des Forts - Fontaines;Lyon -> Montée;Féminin;Trotinette/EDPM;08:00;08:15;1;;Audrey;;
10/06/25;Bas Montée des Forts;Montée des Forts - Lyon;Lyon -> Montée;Masculin;Vélo;08:00;08:15;1;;Audrey;;
10/06/25;Bas Montée des Forts;Montée des Forts - Lyon;Lyon -> Montée;Féminin;Vélo;08:00;08:15;1;;Audrey;;
10/06/25;Bas Montée des Forts;Montée des Forts - Fontaines;Montée -> Fontaines;Masculin;Vélo;08:00;08:15;2;;Audrey;;
10/06/25;Bas Montée des Forts;Montée des Forts - Fontaines;Montée -> Fontaines;Féminin;Vélo;08:00;08:15;1;;Audrey;;
10/06/25;Bas Montée des Forts;Quai (Fontaine - Lyon);Lyon -> Fontaines;Masculin;Vélo;08:00;08:15;1;;Audrey;;
10/06/25;Bas Montée des Forts;Quai (Fontaine - Lyon);Lyon -> Fontaines;Féminin;Cargo/Longtail/Remorque;08:00;08:15;1;;Audrey;;
10/06/25;Bas Montée des Forts;Quai (Fontaine - Lyon);Fontaines -> Lyon;Masculin;Vélo;08:15;08:30;5;;Audrey;;
